CougarInterval,CougarID,ClusterID_unique,SearchTime,ST_sqr,PreyGroup,PreyAgeClass,Site,BearSign,Comb_WeightClass,PreyCategory,CanopyPercent,DemographicStatus,BearDisplacement,CoverType,Dist2road,DensityofRoads_5010,BearHarvestDensity,MultipleKills,Season,AgeClass,ElkUse_3000,DeerUse_3000,THI_990
BC02_1,BC02,BC02-094,20,4.472135955,Elk,Adult,Books,N,ExtraLarge,Elk,1,Pregnant,No,scrub,0.2824512,-0.909711062,0.337969786,No,Spring,PrimeAdult,0.369851326,0.354434691,21486
BC02_1,BC02,BC02-096,68,8.246211251,Elk,Adult,Books,N,ExtraLarge,Elk,1,Pregnant,No,scrub,-0.892347052,0.910522418,0.337969786,No,Spring,PrimeAdult,0.411865705,0.424759474,9321.287109
BC02_1,BC02,BC02-098,162,12.72792206,Elk,Adult,Books,N,ExtraLarge,Elk,1,Pregnant,No,scrub,0.460285485,-0.972369502,0.337969786,No,Spring,PrimeAdult,0.396785318,0.381699689,3745.048828
BC02_1,BC02,BC02-101,98,9.899494937,Elk,Yearling,Books,N,ExtraLarge,Elk,1,Pregnant,No,scrub,0.648322657,-0.299665584,0.337969786,No,Spring,PrimeAdult,0.4739897,0.399973858,11675.88184
BC02_1,BC02,BC02-104,46,6.782329983,Deer,Adult,Books,N,Large,Deer,53,Pregnant,No,coniferous,0.122694162,-0.125616688,0.337969786,No,Summer,PrimeAdult,0.36992361,0.325058051,20701.32227
BC02_1,BC02,BC02-107,148,12.16552506,Deer,Adult,Books,Y,Large,Deer,13,Pregnant,Likely.Yes,scrub,0.515774929,-0.811541049,0.337969786,No,Summer,PrimeAdult,0.34798574,0.338987533,15911.90625
BC02_1,BC02,BC02-110,30,5.477225575,Elk,Neonate,Books,N,Small,Elk,36,Pregnant,No,coniferous,0.39205508,1.075644385,0.337969786,No,Summer,PrimeAdult,0.533844103,0.39338546,10018.7334
BC02_1,BC02,BC02-111,46,6.782329983,Elk,Neonate,Books,N,Small,Elk,19,Pregnant,No,coniferous,-0.085415345,-0.274002722,0.337969786,No,Summer,PrimeAdult,0.400624263,0.37244662,17543.17578
BC02_1,BC02,BC02-112,2,1.414213562,Deer,Adult,Books,N,Large,Deer,1,Pregnant,No,coniferous,-1.400864857,0.507040773,0.337969786,No,Summer,PrimeAdult,0.411038004,0.399555143,7618.833984
BC02_1,BC02,BC02-113,26,5.099019514,Deer,Adult,Books,Y,Large,Deer,7,Pregnant,can't tell,coniferous,-0.52726103,-0.119626852,0.337969786,No,Summer,PrimeAdult,0.384151634,0.413786004,21109.67578
BC02_1,BC02,BC02-114,142,11.91637529,Deer,Neonate,Books,N,ExtraSmall,Deer,40,Pregnant,No,coniferous,-0.338042371,-0.128617058,0.337969786,No,Summer,PrimeAdult,0.410619432,0.407440128,18819.51563
BC02_1,BC02,BC02-116,16,4,Deer,Neonate,Books,N,ExtraSmall,Deer,22,Pregnant,No,coniferous,-0.388292426,0.748325377,0.337969786,No,Summer,PrimeAdult,0.377287042,0.347661719,14580.44434
BC02_1,BC02,BC02-117,38.01666667,6.1657657,Deer,Neonate,Books,N,ExtraSmall,Deer,37,Pregnant,No,coniferous,-0.664083771,0.552072345,0.337969786,No,Summer,PrimeAdult,0.420977371,0.394241774,18530.66797
BC02_1,BC02,BC02-118-B,16,4,Deer,Neonate,Books,N,Small,Deer,24,0-5mo,No,scrub,1.323655514,-1.373071546,0.337969786,No,Summer,PrimeAdult,0.373297522,0.391005756,25242.18945
BC02_1,BC02,BC02-118-A,244,15.62049935,Deer,Neonate,Books,N,Small,Deer,18,0-5mo,No,coniferous,1.081045251,-1.161271263,0.337969786,No,Summer,PrimeAdult,0.406494956,0.414416816,11165.13184
BC02_1,BC02,BC02-120,28,5.291502622,Deer,Neonate,Books,N,Small,Deer,26,0-5mo,No,scrub,-0.282549296,0.008667468,0.337969786,No,Summer,PrimeAdult,0.408690732,0.399480066,12775.66895
BC02_1,BC02,BC02-121,46,6.782329983,Deer,Fawn/calf,Books,Y,Medium,Deer,11,0-5mo,can't tell,scrub,-0.704777893,0.580184446,0.337969786,No,Summer,PrimeAdult,0.385983911,0.36701041,7503.915039
BC02_1,BC02,BC02-119.2,48,6.92820323,Deer,Neonate,Books,N,Small,Deer,1,0-5mo,No,scrub,0.003192126,0.499870657,0.337969786,No,Summer,PrimeAdult,0.449876788,0.398636785,11693.91309
BC02_1,BC02,BC02-122,48,6.92820323,Deer,Neonate,Books,N,Small,Deer,22,0-5mo,No,coniferous,-0.961935599,0.893580566,0.337969786,No,Summer,PrimeAdult,0.372846664,0.350149866,12727.14648
BC02_1,BC02,BC02-124,3.983333333,1.995828984,Deer,Neonate,Books,N,Small,Deer,17,0-5mo,No,scrub,0.407459193,-0.909711062,0.337969786,No,Summer,PrimeAdult,0.375262318,0.376309107,24287.85352
BC02_1,BC02,BC02-126,10,3.16227766,Deer,Neonate,Books,N,Small,Deer,42,0-5mo,No,coniferous,-0.68458398,0.461346095,0.337969786,No,Summer,PrimeAdult,0.464737758,0.403182437,16429.21094
BC02_1,BC02,BC02-127.1,20,4.472135955,Deer,Adult,Books,Y,Large,Deer,42,0-5mo,Likely.Yes,coniferous,-0.591635044,0.048183516,0.337969786,No,Summer,PrimeAdult,0.387009154,0.388314532,17188.58984
BC02_1,BC02,BC02-128,2,1.414213562,Deer,Yearling,Books,N,Medium,Deer,28,0-5mo,No,coniferous,-0.740200592,-0.211053167,0.337969786,No,Summer,PrimeAdult,0.42316052,0.396351017,20545.89258
BC02_1,BC02,BC02-130/132,54.98333333,7.415074735,Deer,Neonate,Books,N,Small,Deer,41,0-5mo,No,coniferous,-0.264772672,0.417417397,0.337969786,No,Summer,PrimeAdult,0.393422361,0.397985995,18680.15039
BC02_1,BC02,BC02-133,30,5.477225575,Elk,Neonate,Books,N,Small,Elk,18,0-5mo,No,scrub,0.467988531,-0.656399118,0.337969786,No,Summer,PrimeAdult,0.38522471,0.31944889,17900.27148
BC02_1,BC02,BC02-135,44,6.633249581,Elk,Neonate,Books,Y,Small,Elk,6,0-5mo,can't tell,coniferous,0.249737026,-0.315851514,0.337969786,No,Summer,PrimeAdult,0.371720225,0.355594368,13979.21777
BC02_1,BC02,BC02-137,4,2,Elk,Neonate,Books,Y,Small,Elk,1,0-5mo,can't tell,coniferous,-1.682046894,0.260942734,0.337969786,No,Summer,PrimeAdult,0.393562095,0.341341409,23262.73242
BC02_1,BC02,BC02-138,111.5166667,10.5601452,Deer,Adult,Books,N,Large,Deer,1,0-5mo,No,scrub,-1.206093496,0.811956943,0.337969786,No,Summer,PrimeAdult,0.42563357,0.383123859,6776.294922
BC02_1,BC02,BC02-142,42,6.480740698,Deer,Adult,Books,N,Large,Deer,42,0-5mo,No,coniferous,-0.211432995,0.568501417,0.337969786,No,Summer,PrimeAdult,0.420824874,0.358312511,19484.60156
BC02_1,BC02,BC02-144,94,9.695359715,Elk,Neonate,Books,N,Small,Elk,1,0-5mo,No,scrub,0.891601539,-1.30817487,0.337969786,No,Summer,PrimeAdult,0.384499314,0.373121598,8608.579102
BC02_1,BC02,BC02-148,26,5.099019514,Elk,Neonate,Books,N,Medium,Elk,39,0-5mo,No,coniferous,-1.212244615,-0.069286391,0.337969786,No,Fall,PrimeAdult,0.35423172,0.255843723,24088.11133
BC02_1,BC02,BC02-150,48,6.92820323,Elk,Neonate,Books,N,Medium,Elk,16,0-5mo,No,coniferous,-0.68103018,0.147184019,0.337969786,No,Fall,PrimeAdult,0.43293291,0.345833241,9864.408203
BC02_1,BC02,BC02-152,12,3.464101615,Elk,Neonate,Books,Y,Medium,Elk,42,0-5mo,Possible,coniferous,0.32149706,-0.20794924,0.337969786,No,Fall,PrimeAdult,0.346039395,0.323025449,13124.80664
BC02_1,BC02,BC02-154,14,3.741657387,Elk,Neonate,Books,N,Medium,Elk,1,0-5mo,No,scrub,1.373909078,-1.325545267,0.337969786,No,Fall,PrimeAdult,0.438527024,0.38170436,7249.96875
BC02_1,BC02,BC02-156,118,10.86278049,Elk,Neonate,Books,Y,Medium,Elk,20,0-5mo,Possible,coniferous,0.678050777,-0.607372386,0.337969786,No,Fall,PrimeAdult,0.417966234,0.359822541,17227.91406
