CougarInterval,CougarID,ClusterID_unique,PreyGroup,DurationatKill,PreyAgeClass,Site,BearSign,Comb_WeightClass,PreyCategory,CanopyPercent,DemographicStatus,BearDisplacement,CoverType,thi150,Dist2road,DensityofRoads_990,DensityofRoads_5010,BearHarvestDensity,DurationatKill.sqr,MultipleKills,Season,DeerUse_990,ElkUse_990
WM10_1,WM10,WM10-233,Deer,40,Neonate,Manti,N,Small,Deer,19,None,No,deciduous,3.117219378,-0.167232652,-0.763989988,2.192913516,1.285351769,6.32455532,No,Fall,0.489365674,0.395699317
WM10_1,WM10,WM10-235,DomesticUngulate,44,Unknown,Manti,N,Medium,OtherUngulate,64,None,No,deciduous,2.981062204,0.542330365,-0.763989988,-0.375097196,1.285351769,6.633249581,No,Fall,-1.562959077,1.151566754
WM10_1,WM10,WM10-236,Deer,100,Fawn/calf,Manti,N,Medium,Deer,19,None,No,coniferous,2.453115948,-1.164245134,1.891237898,1.844558061,1.285351769,10,No,Fall,1.741975152,0.344564475
WM10_1,WM10,WM10-237/239,Deer,136,Adult,Manti,N,Large,Deer,48,None,No,deciduous,3.986662017,-1.606390664,2.281765282,0.350296717,1.285351769,11.66190379,No,Fall,-0.734087139,0.365330305
WM10_1,WM10,WM10-238,Deer,32,Adult,Manti,N,Large,Deer,50,None,No,coniferous,2.552020587,-1.812232362,2.076901402,0.478259986,1.285351769,5.656854249,No,Fall,-0.242746679,0.828961907
WM10_1,WM10,WM10-240,Turkey,32,Unknown,Manti,N,ExtraSmall,Other,40,None,No,coniferous,2.876385516,-1.278131433,2.916210107,2.909658803,1.285351769,5.656854249,No,Fall,0.113440958,0.417504929
WM10_1,WM10,WM10-241,Deer,24,Unknown,Manti,N,Medium,Deer,21,None,No,scrub,2.323196408,-1.2556525,2.748546342,3.057044656,1.285351769,4.898979486,No,Fall,0.387840705,0.313595963
WM10_1,WM10,WM10-242,Deer,74,Neonate,Manti,N,Medium,Deer,39,None,No,coniferous,3.014296677,-0.415453986,-0.017935358,0.912634398,1.285351769,8.602325267,No,Fall,0.839583095,0.554148844
WM10_1,WM10,WM10-243,Deer,32,Fawn/calf,Manti,N,Medium,Deer,16,None,No,coniferous,2.036892542,-0.914256474,1.80240902,1.551264435,1.285351769,5.656854249,No,Fall,-0.109288895,0.116529815
WM10_1,WM10,WM10-244,DomesticUngulate,70,Yearling/Adult,Manti,N,Medium,OtherUngulate,34,None,No,deciduous,3.437995667,0.719631336,-0.763989988,0.357829879,1.285351769,8.366600265,No,Fall,-0.202507842,0.698228248
