ClusterBout,CougID,ClusID,StudySite,BearBeforeBout,AvianBeforeBout,AnyScavenger,MammalScavenger,NonBearMamnmalScavenger,CarcassAge,CachingTime,FeedingTime,RestingTime,VigilantTime,UnknownTime,OtherTime,SumTime,KillorShared,PreySpecies,Non.focalAdultCougarPresent,Habitat,Year,BearSeason,KitteninBout,BearHarvestDensity,CanopyCover.scale,DemographicStatus,PropVig,PropCache,PropFeed,PropRelax,DistancetoRoad,DensityofRoads_510,DensityofRoads_990,DensityofRoads_2490,thi210
EM01-070_Bout6,EM01,EM01-070,Manti,N,N,Y,Y,Y,63.8,14.54,0,0,26.851,0,0,41.391,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,0.699351198,Nursing,0.648715904,0.351284096,0,0,-1.068037514,1.094994257,1.687104846,1.55972709,-1.538889478
EM01-070_Bout7,EM01,EM01-070,Manti,N,N,Y,Y,Y,76.8,15.104,0,4.011,6.024,0,5.726,30.865,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,0.699351198,Nursing,0.195172526,0.489356877,0,0.129953021,-1.068037514,1.094994257,1.687104846,1.55972709,-1.538889478
EM01-070_Bout8,EM01,EM01-070,Manti,N,N,Y,Y,Y,96.8,0,17.639,0,6.575,0,0,24.214,kill,Deer,N,mixed conifer/deciduous,2019,Y,N,0.536351659,0.699351198,Nursing,0.271537127,0,0.728462873,0,-1.068037514,1.094994257,1.687104846,1.55972709,-1.538889478
EM01-073_Bout1,EM01,EM01-073,Manti,N,N,N,N,N,41.1,102.742,767.798,120.186,238.302,0,31.624,1260.652,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0.189030756,0.081499097,0.609048334,0.095336381,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
EM01-073_Bout2,EM01,EM01-073,Manti,N,N,N,N,N,51.9,51.565,520.328,120.332,45.673,11.293,16.275,765.466,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0.059666922,0.067364194,0.679753248,0.157200973,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
EM01-073_Bout3,EM01,EM01-073,Manti,N,N,N,N,N,55.1,222.072,102.134,139.828,126.347,0,1.975,592.356,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0.213295721,0.374896177,0.172419964,0.236053995,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
EM01-073_Bout4,EM01,EM01-073,Manti,N,N,N,N,N,65.4,0,0,60.169,0,0,0,60.169,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0,0,0,1,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
EM01-073_Bout5,EM01,EM01-073,Manti,N,N,N,N,N,66.5,42.909,857.657,93.228,83.565,0,0,1077.359,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0.077564674,0.03982795,0.796073547,0.086533829,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
EM01-073_Bout6,EM01,EM01-073,Manti,N,N,N,N,N,76.8,352.963,1220.166,127.261,198.303,0,1.919,1900.612,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0.104336393,0.185710182,0.641985845,0.066957906,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
EM01-073_Bout7,EM01,EM01-073,Manti,N,N,N,N,N,89,79.755,460.901,132.926,60.158,0,18.152,751.892,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0.080008831,0.106072415,0.612988302,0.176788688,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
EM01-073_Bout8,EM01,EM01-073,Manti,N,N,N,N,N,98.3,8.932,572.685,118.072,55.261,0,0,754.95,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0.073198225,0.011831247,0.758573415,0.156397112,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
EM01-073_Bout9,EM01,EM01-073,Manti,N,N,N,N,N,102.7,23.023,848.117,23.289,132.608,8.45,20.787,1056.274,kill,Deer,N,coniferous,2019,N,N,0.536351659,0.923323591,Nursing,0.125543183,0.021796428,0.802932762,0.022048256,-0.843430711,-0.468364321,0.205458897,0.978135352,-0.03356405
